user,login_hour,files_accessed,commands_executed,session_duration,failed_logins
oscar,14,2,5,54,0
robert,18,10,30,29,0
emma,11,4,9,43,1
david,14,4,29,114,1
queen,16,5,27,96,0
mike,22,14,15,82,1
frank,15,102,91,68,8
henry,23,15,6,39,0
henry,23,10,21,22,1
nina,22,3,29,39,1
irene,20,14,21,47,0
emma,10,7,27,88,1
tom,14,14,19,57,1
charlie,13,10,10,23,1
henry,21,11,19,17,0
queen,15,12,30,52,1
emma,8,1,18,28,0
kevin,10,9,5,92,1
paul,8,3,25,39,0
kevin,11,2,25,53,1
mike,23,3,9,21,1
tom,12,14,10,37,0
jack,21,10,6,115,1
robert,6,11,22,59,0
bob,22,1,21,74,0
paul,14,6,13,25,1
sarah,9,15,25,79,0
paul,13,9,17,58,0
oscar,17,1,22,105,0
oscar,22,13,16,104,0
sarah,9,2,10,38,1
mike,22,12,26,97,0
bob,21,11,27,50,0
emma,9,13,18,104,1
irene,10,1,9,10,0
tom,7,1,25,77,0
sarah,11,7,26,61,0
henry,23,9,11,61,0
nina,22,7,14,117,0
kevin,22,2,17,26,1
irene,13,99,101,14,6
emma,11,7,22,38,1
frank,16,14,8,29,1
oscar,20,5,22,19,0
linda,9,4,27,110,1
frank,14,11,16,110,1
oscar,12,8,26,19,0
david,16,14,13,43,1
tom,11,9,18,29,1
frank,16,15,10,59,1
grace,9,49,86,28,7
henry,23,10,29,63,1
bob,22,3,27,17,1
jack,23,47,122,17,4
paul,9,11,12,100,0
charlie,12,14,25,69,1
oscar,17,12,11,76,0
nina,15,10,13,81,0
nina,10,11,18,28,1
jack,22,12,17,70,0
paul,19,7,19,91,0
henry,23,15,18,17,0
queen,20,15,24,34,1
sarah,11,15,20,68,1
linda,10,2,5,36,0
paul,18,13,8,81,1
tom,15,9,25,38,0
robert,7,11,8,27,0
grace,9,14,13,87,1
paul,15,2,16,48,0
robert,14,11,12,11,1
emma,9,15,5,107,0
emma,9,8,14,86,1
tom,15,1,11,22,1
oscar,17,11,7,24,1
jack,22,12,24,82,1
frank,12,12,19,65,1
bob,23,13,30,27,1
robert,11,5,22,68,1
nina,14,13,20,24,0
frank,15,5,26,118,1
robert,9,2,7,87,0
david,12,12,20,46,1
jack,23,11,22,87,0
tom,10,13,24,43,1
paul,14,13,24,21,1
tom,17,13,16,33,1
bob,23,12,29,52,1
henry,23,7,11,18,0
sarah,11,5,23,57,0
oscar,14,1,8,92,0
bob,23,2,23,60,0
linda,8,14,6,31,1
charlie,14,8,7,23,0
mike,22,3,10,41,1
nina,15,3,11,96,0
henry,22,12,30,113,1
bob,23,12,26,101,1
frank,14,15,22,59,0
grace,8,9,23,94,1
tom,13,7,12,100,1
grace,10,3,19,33,0
sarah,10,12,5,89,1
sarah,8,12,9,61,1
charlie,16,15,14,79,0
linda,10,2,15,72,1
alice,9,3,25,97,1
grace,8,69,83,71,6
david,16,2,15,56,1
kevin,22,3,5,63,0
kevin,13,3,17,13,0
tom,18,10,7,112,0
charlie,16,4,11,64,1
linda,11,12,24,30,1
bob,22,10,30,116,1
queen,20,6,19,97,1
jack,21,9,6,120,0
paul,17,10,8,20,1
robert,14,12,12,27,1
irene,7,13,17,17,1
david,16,6,7,98,0
linda,11,8,19,69,1
henry,21,11,7,86,1
david,12,4,17,62,1
linda,8,15,16,112,1
jack,21,6,23,90,0
henry,22,7,8,109,1
oscar,15,9,19,53,1
nina,11,5,18,12,0
bob,21,13,28,76,0
robert,9,14,26,76,0
frank,12,9,14,23,0
paul,22,15,21,62,1
mike,21,2,26,81,0
charlie,16,11,9,32,1
bob,22,2,10,96,1
robert,10,10,25,49,1
jack,21,8,19,40,0
sarah,8,1,29,27,1
robert,12,2,7,13,1
jack,21,11,27,47,0
mike,23,1,27,105,1
sarah,8,1,26,57,0
mike,23,2,12,101,1
paul,17,7,27,27,0
frank,15,11,7,26,0
charlie,15,67,130,84,4
oscar,16,10,11,104,1
jack,22,15,26,72,1
henry,21,12,23,13,0
henry,23,4,6,57,0
kevin,14,6,17,29,1
henry,23,5,18,94,1
robert,7,4,16,72,1
robert,9,1,26,74,1
bob,23,15,21,118,0
robert,6,2,10,77,0
jack,23,10,6,72,0
emma,10,11,13,15,0
frank,14,9,8,111,1
paul,9,12,16,117,0
emma,11,15,15,114,0
alice,11,12,14,33,1
alice,8,2,28,99,1
paul,17,14,6,71,1
david,15,12,23,82,1
kevin,17,4,15,96,1
emma,10,5,17,85,0
linda,11,6,21,21,1
bob,23,10,17,84,0
jack,22,2,21,90,0
linda,8,8,8,105,1
irene,13,14,18,107,1
david,16,3,22,78,0
grace,11,2,17,36,0
charlie,12,9,28,96,1
kevin,17,2,25,49,0
david,12,10,18,75,1
sarah,11,4,22,81,0
robert,17,1,23,68,0
tom,16,7,12,15,1
robert,10,2,28,34,1
david,16,2,9,40,1
nina,6,7,20,21,0
emma,8,14,20,103,1
robert,8,6,30,95,0
mike,21,12,28,13,0
alice,10,3,22,47,1
emma,11,6,20,103,1
nina,17,10,5,49,0
alice,8,13,25,26,1
jack,21,11,29,100,1
frank,16,11,11,31,0
frank,14,119,114,70,4
frank,15,11,9,44,0
oscar,16,11,27,46,1
bob,21,13,8,91,1
paul,16,5,9,33,1
alice,9,3,23,13,0
queen,15,14,15,108,1
emma,9,7,27,95,0
paul,22,8,30,14,0
tom,8,10,5,50,0
emma,9,14,15,13,1
charlie,12,11,7,54,1
oscar,8,10,22,31,1
bob,21,12,12,105,0
tom,18,9,21,42,0
david,15,1,14,48,0
kevin,21,12,25,41,1
bob,22,3,8,103,0
tom,6,4,17,62,0
robert,15,5,17,94,0
robert,10,8,13,47,1
irene,21,2,28,52,0
emma,8,14,17,14,1
sarah,8,10,27,71,0
queen,18,1,29,90,0
frank,15,9,26,35,0
mike,22,4,17,117,1
henry,21,5,6,62,0
grace,11,14,18,82,1
linda,9,48,183,91,4
david,16,8,30,40,1
sarah,8,2,16,66,0
irene,18,1,28,65,0
queen,12,8,14,117,0
oscar,19,2,15,54,0
mike,23,10,25,81,1
emma,10,15,20,105,1
grace,11,13,19,25,1
nina,9,4,29,73,1
oscar,7,1,16,98,1
bob,23,2,10,101,1
grace,10,6,23,25,1
bob,21,7,18,73,0
henry,22,4,5,94,1
oscar,11,12,11,55,0
paul,8,5,22,44,0
david,14,5,18,86,0
grace,9,9,17,15,1
jack,23,11,24,98,0
tom,14,2,27,16,1
mike,21,14,10,118,0
paul,8,4,23,116,1
henry,23,7,10,28,0
david,14,10,12,20,0
nina,16,11,12,92,1
emma,9,12,10,101,0
emma,9,11,21,120,0
grace,11,1,8,38,0
linda,10,2,27,22,0
sarah,8,12,24,114,0
sarah,8,4,10,93,1
kevin,8,7,24,97,0
sarah,9,6,11,105,0
mike,23,5,20,87,0
jack,22,4,7,20,1
linda,11,12,14,85,1
grace,11,15,10,89,1
tom,12,4,14,16,0
paul,8,3,25,106,1
mike,21,12,17,55,1
alice,10,5,7,79,0
david,16,7,5,16,0
robert,13,7,14,97,1
frank,12,15,23,56,0
david,15,15,16,18,1
alice,10,5,30,35,0
jack,23,4,8,45,0
sarah,8,15,23,74,1
charlie,14,7,8,18,1
emma,10,4,24,38,0
emma,8,3,18,80,0
emma,8,9,14,98,0
charlie,15,2,23,70,1
grace,8,6,12,81,0
henry,23,12,25,14,0
oscar,8,2,17,85,1
david,12,8,18,21,1
sarah,9,7,7,17,0
nina,20,2,30,50,0
linda,9,10,26,26,0
jack,23,5,10,66,0
linda,11,15,14,52,1
robert,10,9,15,72,0
frank,12,9,25,40,0
nina,8,9,13,70,1
grace,9,13,22,74,1
irene,20,13,21,11,1
queen,9,10,12,45,1
mike,22,4,27,46,0
jack,23,6,7,35,0
irene,21,6,23,56,0
david,14,1,23,14,0
oscar,7,1,19,35,0
paul,8,13,24,17,0
grace,8,11,21,36,0
queen,19,2,10,115,0
oscar,14,7,9,12,1
irene,19,11,11,25,0
grace,8,2,8,91,0
bob,21,7,22,110,1
henry,21,5,15,18,0
sarah,9,14,13,78,1
tom,18,11,27,92,0
oscar,11,13,18,110,0
nina,16,9,20,44,0
robert,15,13,20,48,1
grace,9,11,21,74,0
charlie,14,3,27,30,1
irene,18,1,5,71,1
robert,13,12,22,53,1
grace,8,3,17,45,0
henry,22,6,29,29,0
henry,21,15,7,43,1
henry,21,3,22,93,1
nina,19,5,7,25,0
queen,11,14,17,97,1
charlie,15,8,14,13,0
mike,23,8,18,43,0
jack,21,7,16,85,0
linda,9,3,13,34,1
grace,8,13,18,31,0
nina,13,9,11,104,1
oscar,15,7,20,44,0
charlie,12,15,15,13,0
sarah,11,15,28,34,1
irene,18,1,8,23,1
robert,13,9,25,103,1
grace,9,1,29,50,0
kevin,21,1,5,34,0
charlie,12,6,19,79,0
oscar,14,7,11,26,0
henry,23,14,10,96,0
frank,15,13,21,82,1
henry,22,4,20,23,0
mike,22,11,13,12,0
linda,10,15,14,93,1
frank,14,11,12,112,1
grace,11,6,5,35,1
kevin,11,3,26,54,1
robert,9,6,28,102,1
irene,14,7,7,91,1
alice,10,3,26,111,1
tom,13,13,30,49,0
oscar,14,1,5,28,1
paul,22,8,8,16,0
paul,11,4,5,92,1
frank,13,10,28,48,0
irene,6,9,20,98,0
mike,23,11,7,49,0
nina,12,12,24,32,1
oscar,22,13,29,50,1
paul,7,7,24,105,1
nina,15,1,10,66,1
nina,18,5,16,87,0
charlie,16,1,12,117,0
queen,15,6,26,10,1
sarah,11,2,28,81,0
nina,10,3,28,65,0
henry,21,3,23,10,1
henry,23,4,13,116,1
robert,14,10,23,12,1
grace,10,15,30,111,1
robert,17,1,11,118,1
oscar,6,9,8,12,0
tom,19,12,11,106,1
jack,21,10,26,21,1
henry,22,2,15,16,1
jack,23,12,28,85,1
oscar,14,7,15,95,1
frank,12,15,21,76,1
charlie,15,13,5,100,0
sarah,8,9,16,61,0
grace,10,9,12,80,0
bob,21,12,21,63,0
robert,19,6,24,51,0
kevin,15,8,19,53,0
mike,23,11,26,120,0
kevin,21,10,30,81,0
grace,10,12,20,95,1
frank,13,6,27,109,1
irene,8,13,10,26,1
tom,22,2,13,60,0
nina,14,4,12,31,1
queen,10,5,10,34,0
robert,10,13,18,36,0
frank,14,3,16,101,1
oscar,14,1,24,116,1
paul,18,14,27,23,0
alice,9,3,12,103,1
queen,7,5,30,109,1
robert,15,12,9,56,0
mike,22,3,25,31,0
david,12,14,7,53,1
mike,22,3,13,112,1
frank,16,14,18,23,1
jack,22,5,30,74,1
bob,21,10,18,13,1
henry,23,6,22,107,1
paul,17,13,23,91,0
queen,7,4,22,23,0
frank,14,9,8,85,0
david,13,11,27,58,0
mike,23,7,19,100,1
alice,10,13,5,94,1
charlie,12,4,25,99,1
mike,21,6,27,14,1
bob,23,8,10,112,1
queen,16,15,21,47,1
robert,10,4,15,55,1
oscar,14,9,17,14,0
linda,9,10,12,25,0
david,13,4,28,60,1
tom,11,11,25,26,1
grace,9,2,8,36,1
robert,15,2,9,19,1
kevin,15,4,25,42,0
kevin,11,10,8,20,1
nina,11,3,27,51,0
irene,13,1,18,61,1
emma,10,9,18,60,1
kevin,7,8,15,108,0
paul,10,5,9,77,0
bob,22,11,9,116,0
frank,14,7,20,53,1
mike,23,10,27,76,0
nina,22,6,12,73,1
grace,8,13,16,47,1
henry,22,101,86,94,7
tom,15,6,15,49,0
linda,10,3,6,115,0
alice,8,9,26,97,0
sarah,11,15,29,83,0
mike,23,7,26,80,1
charlie,16,7,21,22,1
grace,11,9,28,10,0
frank,13,15,23,10,0
bob,22,8,8,70,0
robert,15,2,5,48,1
charlie,15,14,24,117,0
charlie,12,4,19,114,0
oscar,18,2,9,37,0
bob,22,13,19,23,0
david,16,2,16,45,0
jack,22,14,10,34,0
mike,22,3,26,37,0
alice,9,1,12,90,0
frank,16,7,8,74,0
robert,20,3,8,117,0
paul,7,6,26,87,0
kevin,9,15,24,19,1
oscar,11,14,10,97,0
mike,21,3,8,12,0
alice,11,14,9,86,0
henry,22,5,18,46,0
emma,11,4,25,80,1
sarah,9,14,13,55,0
alice,11,4,19,17,1
frank,15,8,28,43,0
henry,22,14,25,120,0
oscar,10,4,7,119,1
robert,10,7,8,112,0
emma,8,5,15,82,0
alice,10,3,7,21,0
alice,9,15,16,111,0
bob,21,9,6,105,1
grace,10,1,22,111,0
emma,10,7,24,107,1
robert,21,3,11,112,0
frank,16,2,28,37,0
robert,7,3,6,78,1
alice,10,15,30,54,0
paul,14,2,24,48,0
kevin,20,12,25,85,0
linda,8,104,142,40,8
kevin,15,3,26,11,1
jack,23,13,11,109,0
robert,13,3,23,118,1
jack,23,15,28,81,0
david,16,13,16,107,1
oscar,11,3,14,63,0
alice,10,4,19,11,0
grace,10,12,12,28,1
emma,9,15,23,23,0
kevin,19,77,103,81,4
grace,11,10,27,43,0
emma,11,15,26,112,1
sarah,11,12,26,112,0
charlie,14,12,21,59,1
jack,21,8,16,54,0
charlie,14,14,29,58,1
linda,11,8,26,12,1
linda,8,7,12,120,0
kevin,20,2,12,116,0
charlie,12,5,22,118,0
mike,23,6,13,93,1
queen,22,14,28,61,0
emma,8,9,6,62,0
paul,13,3,20,28,0
emma,11,13,24,56,0
kevin,18,13,5,31,1
jack,22,7,8,32,0
oscar,15,3,14,89,0
emma,8,14,16,14,1
mike,23,2,24,19,1
kevin,12,4,29,24,1
irene,12,6,12,85,1
oscar,16,10,14,27,1
kevin,11,8,15,104,0
frank,13,13,20,112,1
paul,16,6,26,16,1
emma,10,11,9,13,1
sarah,10,15,22,102,1
bob,21,14,30,60,1
linda,11,7,10,60,1
tom,13,12,5,82,1
mike,21,2,21,110,0
sarah,11,4,24,14,1
sarah,11,5,10,46,0
henry,21,13,29,104,0
tom,17,7,29,104,0
paul,15,54,161,96,3
tom,7,11,14,54,0
frank,13,2,16,81,1
frank,14,9,5,81,0
jack,21,12,20,65,0
grace,9,7,12,26,0
paul,10,8,13,76,0
frank,12,13,29,82,1
linda,9,8,15,36,0
henry,22,6,24,108,1
paul,13,8,30,102,0
grace,10,10,7,13,1
david,14,6,5,59,0
emma,9,6,5,26,0
david,13,9,11,63,0
bob,22,12,20,23,1
charlie,14,45,191,63,5
oscar,11,10,27,112,1
alice,8,11,21,47,1
nina,11,14,11,113,0
frank,13,5,27,79,0
nina,17,6,6,10,1
paul,20,10,12,97,1
queen,14,15,7,49,0
charlie,14,8,16,35,1
emma,10,5,25,66,1
charlie,12,10,28,94,0
emma,10,11,7,99,0
queen,17,12,8,76,0
charlie,15,12,20,41,1
frank,13,9,7,66,1
queen,7,9,30,19,0
tom,6,13,9,57,1
nina,22,7,7,65,1
paul,20,5,8,71,0
frank,16,7,19,25,0
charlie,13,4,15,82,0
david,15,7,25,49,1
henry,21,1,15,48,0
jack,23,9,27,81,0
grace,8,14,28,31,0
jack,23,14,20,79,1
irene,22,11,10,69,0
irene,19,14,16,66,0
frank,16,8,16,25,0
bob,23,15,17,111,1
grace,10,10,29,110,1
tom,8,8,5,109,1
charlie,16,14,8,49,0
bob,22,12,13,48,0
grace,10,9,19,113,0
emma,8,10,26,10,1
alice,11,99,178,47,5
oscar,7,8,17,69,1
robert,13,7,30,98,1
linda,9,11,5,88,0
frank,13,3,6,70,1
bob,21,15,23,55,0
henry,22,11,22,117,1
alice,8,75,121,116,8
irene,14,13,15,56,1
bob,23,13,11,46,1
emma,9,8,26,32,1
oscar,22,7,10,115,0
alice,10,9,28,96,1
kevin,17,3,26,101,0
sarah,9,8,5,48,1
frank,12,1,26,56,0
sarah,11,3,17,15,0
tom,13,12,18,102,1
alice,11,3,28,48,0
charlie,15,3,9,47,1
mike,23,10,22,52,0
queen,19,6,25,120,1
nina,9,9,30,82,0
robert,19,4,22,110,1
nina,20,10,15,102,0
david,13,10,5,106,0
nina,15,2,21,44,1
robert,15,8,28,69,0
frank,15,8,8,107,0
jack,21,9,11,70,0
queen,15,2,27,14,0
jack,21,10,9,53,0
mike,23,11,21,54,1
charlie,12,11,12,48,0
nina,15,7,12,89,1
bob,21,15,26,27,0
tom,15,13,19,11,0
robert,7,4,23,28,1
nina,21,7,22,53,1
kevin,20,13,9,61,1
frank,12,13,26,55,1
emma,10,10,23,34,1
emma,10,9,22,114,1
frank,12,4,30,118,0
mike,23,1,25,65,1
nina,10,9,10,57,0
henry,21,14,19,53,0
charlie,12,14,13,85,1
kevin,16,10,23,41,1
henry,21,15,6,117,0
nina,6,15,23,103,1
nina,19,13,16,102,1
robert,13,2,26,116,0
henry,23,15,12,74,1
charlie,15,8,16,50,1
oscar,11,12,22,89,1
oscar,16,1,17,111,1
henry,22,14,28,25,1
tom,21,7,5,69,1
alice,11,10,23,13,0
linda,8,54,144,58,7
emma,11,15,29,99,0
linda,8,6,28,42,0
mike,21,9,17,69,0
bob,21,12,30,21,1
tom,9,15,16,120,1
nina,20,2,27,52,0
oscar,10,15,21,92,1
sarah,9,4,19,70,1
queen,11,11,30,48,0
sarah,11,15,29,51,0
mike,21,2,20,111,1
paul,14,15,8,93,1
paul,20,10,19,58,0
frank,12,3,21,35,0
frank,12,10,12,90,1
henry,22,15,14,119,0
queen,17,14,7,105,0
oscar,6,12,14,89,1
kevin,20,11,25,26,1
tom,14,2,9,74,0
linda,9,6,9,94,0
frank,14,9,10,24,0
linda,9,2,8,68,0
paul,8,15,8,18,0
kevin,15,1,17,34,1
frank,12,9,15,63,1
david,12,1,7,36,0
tom,14,5,24,54,1
robert,19,12,27,100,0
charlie,14,5,25,92,0
mike,21,6,16,85,0
bob,22,8,17,90,1
frank,13,4,29,15,1
emma,10,11,23,25,0
charlie,15,7,5,38,0
frank,16,5,28,17,1
oscar,13,5,7,19,0
mike,23,5,27,68,1
henry,23,5,7,53,0
tom,9,2,16,52,0
bob,22,10,12,46,0
grace,10,10,16,86,0
bob,21,15,7,53,1
robert,22,2,25,102,1
mike,23,6,10,101,0
bob,22,12,14,45,1
sarah,9,4,7,85,1
alice,9,13,15,89,1
robert,18,13,27,109,1
david,12,12,28,24,0
irene,17,6,22,100,1
robert,17,5,23,48,1
nina,20,9,15,12,0
frank,16,10,5,51,1
charlie,14,8,5,12,1
bob,23,6,13,36,1
frank,13,4,21,93,1
frank,14,5,5,85,1
oscar,8,7,23,111,0
emma,10,14,27,93,0
jack,22,79,174,80,5
irene,19,13,23,26,0
robert,7,14,15,85,1
david,14,6,24,39,1
nina,8,13,12,16,0
mike,22,8,8,69,1
alice,8,10,28,78,0
emma,8,2,23,22,1
paul,19,15,5,28,1
jack,21,13,18,30,1
jack,21,46,97,19,5
queen,18,6,13,86,1
linda,10,10,20,53,0
grace,10,15,22,61,1
henry,23,110,170,19,3
queen,21,2,23,89,0
bob,21,11,16,13,0
mike,22,15,11,100,0
irene,13,3,29,62,1
kevin,20,2,23,46,1
charlie,16,11,6,74,1
robert,14,1,23,85,1
frank,12,6,28,98,1
charlie,16,10,11,13,0
oscar,8,14,6,38,0
paul,7,15,18,50,0
mike,23,7,16,33,0
charlie,12,10,6,81,0
frank,14,13,6,31,0
nina,6,7,19,32,0
paul,12,8,16,44,0
nina,20,2,8,86,1
kevin,15,8,20,94,1
bob,23,9,25,108,0
david,16,11,13,32,1
robert,7,12,12,35,1
henry,22,9,30,17,0
david,12,11,26,83,1
linda,8,11,18,99,1
kevin,7,4,22,92,0
tom,12,6,7,22,1
irene,9,8,16,18,1
queen,19,7,11,49,0
bob,22,7,20,74,0
grace,9,116,200,20,5
linda,9,11,28,37,1
grace,10,8,26,36,1
paul,11,6,25,27,1
frank,14,10,17,61,0
kevin,16,2,9,55,0
queen,13,5,14,110,1
frank,12,4,27,113,0
irene,20,9,24,18,1
nina,16,7,27,106,0
david,15,11,12,40,1
bob,22,9,12,113,1
david,13,6,7,102,1
nina,19,15,18,29,0
emma,8,13,25,114,0
henry,21,10,30,19,1
sarah,10,10,9,112,1
david,16,9,25,44,0
nina,17,5,19,38,0
tom,11,14,28,29,1
paul,22,15,19,83,0
emma,8,8,24,119,1
queen,8,2,14,85,0
paul,13,9,18,105,0
tom,7,6,12,101,1
kevin,19,5,25,80,1
nina,21,12,11,120,0
robert,10,4,6,65,1
sarah,8,2,24,120,1
kevin,18,1,29,38,1
robert,9,15,17,64,0
oscar,21,5,18,69,0
irene,14,1,6,90,0
kevin,17,8,30,54,0
tom,12,5,16,108,1
nina,15,2,19,114,0
mike,22,4,20,99,1
kevin,15,4,7,95,1
queen,7,10,14,115,1
oscar,9,2,12,116,0
queen,20,9,11,98,0
henry,21,4,22,106,1
nina,9,116,175,90,6
tom,21,6,18,119,1
david,14,15,8,116,0
nina,10,2,18,91,1
grace,11,8,26,57,0
oscar,15,11,11,92,0
emma,10,10,6,102,1
emma,10,5,17,72,0
paul,9,7,5,66,1
irene,11,8,8,73,0
frank,12,9,18,107,0
mike,21,3,18,72,0
alice,11,6,6,90,1
sarah,8,1,18,17,0
alice,10,2,23,62,0
david,14,6,20,101,0
tom,19,2,13,38,0
charlie,12,6,9,108,1
jack,22,7,16,27,0
emma,8,10,11,16,0
charlie,15,15,7,19,1
irene,12,13,6,110,1
nina,19,2,16,54,0
kevin,21,9,24,43,1
tom,8,8,23,19,0
nina,11,5,21,38,1
david,12,2,18,10,1
frank,16,2,20,64,1
jack,21,13,7,56,0
jack,22,7,28,22,0
sarah,8,4,15,43,0
henry,22,14,25,19,0
david,15,6,18,89,0
grace,11,4,26,44,0
tom,13,9,30,41,1
emma,11,8,7,37,1
nina,12,11,24,79,1
jack,21,9,28,108,0
paul,19,10,9,27,1
robert,10,11,23,19,1
sarah,11,1,19,21,1
paul,22,9,20,112,0
david,13,2,9,96,1
linda,9,12,30,50,1
sarah,10,5,5,34,0
mike,21,1,9,22,1
grace,9,12,16,23,1
irene,12,14,8,87,1
charlie,16,13,13,96,0
grace,9,11,15,72,0
david,14,5,5,116,1
charlie,13,7,12,105,1
paul,21,11,27,57,1
sarah,10,9,9,69,0
frank,14,3,24,61,1
jack,23,9,30,22,1
linda,9,13,20,28,1
emma,8,13,23,87,1
queen,13,14,6,77,0
alice,9,13,29,119,1
queen,12,7,15,95,0
linda,8,5,20,12,1
robert,22,14,30,73,1
bob,23,6,28,84,0
emma,9,15,30,84,0
queen,18,10,29,36,1
nina,12,10,6,77,0
mike,21,5,20,107,0
robert,15,12,5,21,1
linda,9,14,15,74,1
jack,23,10,7,71,0
henry,22,5,16,81,0
bob,22,11,23,28,1
robert,14,10,24,13,1
queen,14,2,12,91,1
charlie,15,10,5,46,1
mike,23,14,16,34,1
bob,22,9,8,88,0
tom,9,6,27,23,0
alice,10,1,7,32,0
mike,22,6,30,97,0
robert,13,2,15,52,0
david,16,12,21,95,1
henry,22,12,6,40,1
oscar,7,6,11,45,0
frank,12,4,26,63,0
emma,8,12,29,65,0
jack,23,2,24,115,1
emma,11,10,6,87,1
paul,6,13,16,80,1
mike,22,7,13,23,0
bob,22,8,29,91,0
kevin,17,8,26,10,1
charlie,13,8,7,102,1
robert,7,10,21,62,1
linda,10,2,13,116,0
queen,16,4,24,40,1
mike,23,13,27,87,0
charlie,13,7,8,112,0
charlie,12,2,23,116,0
grace,10,15,27,36,1
charlie,12,14,13,21,0
irene,17,2,15,96,1
david,15,15,23,34,0
david,15,12,5,116,0
jack,21,3,25,48,1
kevin,14,13,16,25,1
queen,19,15,8,82,1
bob,22,9,21,46,0
charlie,15,1,9,16,0
henry,22,11,23,52,1
tom,8,11,9,113,0
nina,20,9,5,38,0
david,15,1,11,41,0
linda,9,3,14,73,1
kevin,20,7,15,95,1
tom,18,9,14,87,1
henry,21,5,5,114,0
kevin,6,1,19,50,0
irene,17,2,23,89,0
bob,22,11,29,83,0
oscar,16,8,6,18,1
nina,12,5,13,21,1
kevin,22,8,29,88,1
queen,9,11,19,16,0
bob,21,7,9,42,0
bob,22,3,5,83,1
kevin,18,2,23,19,1
mike,22,9,19,33,0
grace,9,5,12,85,0
kevin,17,2,26,110,1
charlie,14,12,13,104,1
tom,14,10,14,103,1
emma,8,3,17,44,0
paul,19,11,28,106,1
tom,8,11,5,27,0
grace,10,13,11,30,1
tom,22,11,23,112,1
tom,20,4,10,114,0
sarah,10,12,13,66,1
sarah,10,5,6,51,0
frank,12,3,17,21,1
sarah,9,6,18,83,1
charlie,15,1,23,107,1
queen,6,3,13,114,1
oscar,12,10,14,88,0
robert,12,2,23,12,0
emma,11,9,11,102,0
frank,12,2,26,97,0
queen,12,12,22,91,0
oscar,22,6,12,80,1
nina,11,15,15,32,0
henry,22,9,7,52,0
queen,9,7,14,45,1
henry,21,7,23,39,0
queen,8,11,14,11,0
jack,21,12,27,39,0
david,14,4,25,45,1
nina,22,6,25,43,0
paul,17,7,22,34,1
david,13,2,8,15,1
robert,12,7,6,106,0
sarah,8,12,13,96,0
queen,11,4,5,67,1
irene,20,11,17,71,1
paul,14,8,24,47,0
frank,15,4,23,21,1
david,13,3,17,85,0
paul,10,6,5,30,1
nina,22,10,15,44,1
mike,22,5,29,113,1
henry,21,10,9,77,0
jack,22,69,84,47,3
nina,11,13,22,68,0
robert,6,15,9,109,1
grace,9,2,11,106,1
sarah,10,1,16,41,1
mike,22,8,10,42,1
queen,14,113,167,23,7
david,14,11,30,54,0
robert,18,2,9,105,1
david,15,1,17,34,0
linda,8,10,10,85,0
grace,8,6,30,72,0
alice,8,6,19,41,0
nina,11,11,28,92,1
david,16,15,24,100,1
charlie,12,5,20,95,0
charlie,16,1,8,42,1
jack,21,1,6,62,0
jack,21,9,17,57,1
charlie,16,12,19,120,0
mike,21,10,21,24,0
oscar,18,3,7,103,0
sarah,9,3,27,109,1
paul,14,11,30,36,1
nina,11,10,9,70,1
frank,15,10,17,70,1
kevin,21,1,17,110,0
henry,21,2,29,75,0
kevin,15,14,22,109,1
queen,11,3,30,38,1
robert,10,2,25,104,0
henry,22,12,23,94,1
grace,10,14,8,44,0
grace,11,6,13,52,0
grace,10,15,19,93,0
irene,11,11,25,70,0
tom,19,15,21,71,0
frank,16,4,7,115,1
alice,9,14,23,92,1
henry,22,5,26,61,1
paul,17,15,6,106,0
charlie,16,12,16,27,1
kevin,12,2,30,68,1
nina,12,1,7,97,1
paul,16,7,30,96,0
robert,14,2,18,49,0
bob,23,1,29,36,1
sarah,11,6,23,101,1
alice,8,15,9,120,0
oscar,16,5,10,36,0
alice,8,1,9,82,0
paul,12,3,29,116,1
irene,20,13,27,60,0
nina,17,14,18,66,1
emma,9,12,27,58,0
paul,22,8,22,26,1
linda,11,5,22,22,0
paul,12,10,15,45,1
henry,23,15,29,93,0
linda,11,3,11,35,0
kevin,10,5,11,114,1
sarah,10,11,17,119,0
nina,7,8,22,35,1
mike,22,10,5,93,0
oscar,20,11,18,85,0
nina,22,4,30,32,0
bob,21,14,26,87,1
frank,13,15,12,51,0
frank,16,1,10,55,0
alice,9,4,10,104,0
alice,9,97,127,25,5
emma,10,6,18,10,1
kevin,17,11,7,101,1
jack,23,8,23,120,1
charlie,16,2,13,70,0
queen,19,2,23,44,1
david,12,3,19,108,1
emma,11,12,18,27,1
grace,10,3,10,47,0
jack,21,9,7,112,1
nina,18,6,6,118,0
tom,16,9,20,81,1
robert,18,12,13,91,1
mike,21,5,23,13,0
queen,12,3,13,70,0
grace,11,9,7,74,0
queen,9,13,9,20,0
oscar,8,9,22,82,0
frank,13,12,25,101,1
sarah,11,4,9,98,0
frank,15,10,27,83,0
david,15,11,8,89,0
david,13,10,18,61,1
tom,16,2,11,44,0
tom,6,10,20,36,1
paul,21,5,19,39,0
charlie,16,85,120,61,7
irene,19,11,17,98,0
alice,8,1,17,86,1
bob,21,14,8,46,0
grace,11,3,18,31,0
emma,10,5,10,47,1
mike,22,14,5,92,1
oscar,6,10,17,91,0
jack,22,12,12,90,0
nina,21,7,24,17,1
kevin,15,12,9,90,1
robert,7,12,30,29,0
